sequenceID	genotype	subtype	gb_isolate	gb_country_short_missing	gb_place_sampled_missing	gb_collection_year_missing	gb_collection_month_missing	gb_lab_construct_missing	gb_host_missing	gb_pubmed_id_missing	alternative_reference_url	Email of author
AB162864									Homo sapiens			kenjiabe@nih.go.jp
AB162865									Homo sapiens			kenjiabe@nih.go.jp
AB162866									Homo sapiens			kenjiabe@nih.go.jp
AB162867									Homo sapiens			kenjiabe@nih.go.jp
AB162868									Homo sapiens			kenjiabe@nih.go.jp
AB162869									Homo sapiens			kenjiabe@nih.go.jp
AB162870									Homo sapiens			kenjiabe@nih.go.jp
AB162871									Homo sapiens			kenjiabe@nih.go.jp
AB162872									Homo sapiens			kenjiabe@nih.go.jp
AB162873									Homo sapiens			kenjiabe@nih.go.jp
AB162874									Homo sapiens			kenjiabe@nih.go.jp
AB162875									Homo sapiens			kenjiabe@nih.go.jp
AB162876									Homo sapiens			kenjiabe@nih.go.jp
AB284224									Homo sapiens			kenjiabe@nih.go.jp
AB301783									Homo sapiens			kenjiabe@nih.go.jp
AB301784									Homo sapiens			kenjiabe@nih.go.jp
AB301785									Homo sapiens			kenjiabe@nih.go.jp
AB301786									Homo sapiens			kenjiabe@nih.go.jp
AB301787									Homo sapiens			kenjiabe@nih.go.jp
AB301788									Homo sapiens			kenjiabe@nih.go.jp
AB301789									Homo sapiens			kenjiabe@nih.go.jp
AB301790									Homo sapiens			kenjiabe@nih.go.jp
AB301791									Homo sapiens			kenjiabe@nih.go.jp
AB301792									Homo sapiens			kenjiabe@nih.go.jp
AB301793									Homo sapiens			kenjiabe@nih.go.jp
AB301794									Homo sapiens			kenjiabe@nih.go.jp
AB301795									Homo sapiens			kenjiabe@nih.go.jp
AB301796									Homo sapiens			kenjiabe@nih.go.jp
AB301797									Homo sapiens			kenjiabe@nih.go.jp
AB301798									Homo sapiens			kenjiabe@nih.go.jp
AB301799									Homo sapiens			kenjiabe@nih.go.jp
AB301800									Homo sapiens			kenjiabe@nih.go.jp
AB301801									Homo sapiens			kenjiabe@nih.go.jp
AB301802									Homo sapiens			kenjiabe@nih.go.jp
AB301803									Homo sapiens			kenjiabe@nih.go.jp
AB301804									Homo sapiens			kenjiabe@nih.go.jp
AB301805									Homo sapiens			kenjiabe@nih.go.jp
AB301806									Homo sapiens			kenjiabe@nih.go.jp
AB301807									Homo sapiens			kenjiabe@nih.go.jp
AB301808									Homo sapiens			kenjiabe@nih.go.jp
AB301809									Homo sapiens			kenjiabe@nih.go.jp
AB301810									Homo sapiens			kenjiabe@nih.go.jp
AB301811									Homo sapiens			kenjiabe@nih.go.jp
AB301812									Homo sapiens			kenjiabe@nih.go.jp
AB301813									Homo sapiens			kenjiabe@nih.go.jp
AB301814									Homo sapiens			kenjiabe@nih.go.jp
AB301815									Homo sapiens			kenjiabe@nih.go.jp
AB301816									Homo sapiens			kenjiabe@nih.go.jp
AB301817									Homo sapiens			kenjiabe@nih.go.jp
AB301818									Homo sapiens			kenjiabe@nih.go.jp
AB301820									Homo sapiens			kenjiabe@nih.go.jp
AB301822									Homo sapiens			kenjiabe@nih.go.jp
AB301823									Homo sapiens			kenjiabe@nih.go.jp
AB301824									Homo sapiens			kenjiabe@nih.go.jp
AB301825									Homo sapiens			kenjiabe@nih.go.jp
AB301826									Homo sapiens			kenjiabe@nih.go.jp
AB301827									Homo sapiens			kenjiabe@nih.go.jp
AB301828									Homo sapiens			kenjiabe@nih.go.jp
AB301829									Homo sapiens			kenjiabe@nih.go.jp
AB301830									Homo sapiens			kenjiabe@nih.go.jp
AB301831									Homo sapiens			kenjiabe@nih.go.jp
AB301832									Homo sapiens			kenjiabe@nih.go.jp
AB301833									Homo sapiens			kenjiabe@nih.go.jp
AB301834									Homo sapiens			kenjiabe@nih.go.jp
AB301835									Homo sapiens			kenjiabe@nih.go.jp
AB301836									Homo sapiens			kenjiabe@nih.go.jp
AB301837									Homo sapiens			kenjiabe@nih.go.jp
AB301838									Homo sapiens			kenjiabe@nih.go.jp
AB301839									Homo sapiens			kenjiabe@nih.go.jp
AB301840									Homo sapiens			kenjiabe@nih.go.jp
AB301841									Homo sapiens			kenjiabe@nih.go.jp
AB301842									Homo sapiens			kenjiabe@nih.go.jp
AB301843									Homo sapiens			kenjiabe@nih.go.jp
AB301844									Homo sapiens			kenjiabe@nih.go.jp
AB301845									Homo sapiens			kenjiabe@nih.go.jp
AB301846									Homo sapiens			kenjiabe@nih.go.jp
AB301847									Homo sapiens			kenjiabe@nih.go.jp
AB301848		k							Homo sapiens			kenjiabe@nih.go.jp
AB301849									Homo sapiens			kenjiabe@nih.go.jp
AB301850									Homo sapiens			kenjiabe@nih.go.jp
AB301851									Homo sapiens			kenjiabe@nih.go.jp
AB301852									Homo sapiens			kenjiabe@nih.go.jp
AB301853									Homo sapiens			kenjiabe@nih.go.jp
AB301854									Homo sapiens			kenjiabe@nih.go.jp
AB301855									Homo sapiens			kenjiabe@nih.go.jp
AB301856									Homo sapiens			kenjiabe@nih.go.jp
AB306327									Homo sapiens			kenjiabe@nih.go.jp
AB306328									Homo sapiens			kenjiabe@nih.go.jp
AB306336									Homo sapiens			kenjiabe@nih.go.jp
AB306341									Homo sapiens			kenjiabe@nih.go.jp
AB306342									Homo sapiens			kenjiabe@nih.go.jp
AB306344									Homo sapiens			kenjiabe@nih.go.jp
AB306346									Homo sapiens			kenjiabe@nih.go.jp
AB306347									Homo sapiens			kenjiabe@nih.go.jp
AB306348									Homo sapiens			kenjiabe@nih.go.jp
AB306349									Homo sapiens			kenjiabe@nih.go.jp
AB306353									Homo sapiens			kenjiabe@nih.go.jp
AB306354									Homo sapiens			kenjiabe@nih.go.jp
AB306358									Homo sapiens			kenjiabe@nih.go.jp
AB306359									Homo sapiens			kenjiabe@nih.go.jp
AB306361									Homo sapiens			kenjiabe@nih.go.jp
AB306362									Homo sapiens			kenjiabe@nih.go.jp
AB306363									Homo sapiens			kenjiabe@nih.go.jp
AB306364									Homo sapiens			kenjiabe@nih.go.jp
AB306366									Homo sapiens			kenjiabe@nih.go.jp
AB306368									Homo sapiens			kenjiabe@nih.go.jp
AB306370									Homo sapiens			kenjiabe@nih.go.jp
AB306371									Homo sapiens			kenjiabe@nih.go.jp
AB306375									Homo sapiens			kenjiabe@nih.go.jp
AB306378									Homo sapiens			kenjiabe@nih.go.jp
AB306379									Homo sapiens			kenjiabe@nih.go.jp
AB306380									Homo sapiens			kenjiabe@nih.go.jp
AB306381									Homo sapiens			kenjiabe@nih.go.jp
AB306383									Homo sapiens			kenjiabe@nih.go.jp
AB306384									Homo sapiens			kenjiabe@nih.go.jp
AB306386									Homo sapiens			kenjiabe@nih.go.jp
AB306387									Homo sapiens			kenjiabe@nih.go.jp
AB306389									Homo sapiens			kenjiabe@nih.go.jp
AB306390									Homo sapiens			kenjiabe@nih.go.jp
AB306391									Homo sapiens			kenjiabe@nih.go.jp
AB306396									Homo sapiens			kenjiabe@nih.go.jp
AB306397									Homo sapiens			kenjiabe@nih.go.jp
AB306400									Homo sapiens			kenjiabe@nih.go.jp
AB306403									Homo sapiens			kenjiabe@nih.go.jp
AB306405									Homo sapiens			kenjiabe@nih.go.jp
AB522973												
AB522974												
AB522975												
AB522977												
AB522980												
AB522983												
AB522987												
AB522988												
AB522989												
AB522990												
AB522991												
AB522992												
AB522994												
AB522997												
AB522999												
AB523001												
AB523002												
AB523008												
AB523011												
AB523015												
AB523017												
