SourceName,PrimAcc,genotype,subtype,reference_status
ncbi-refseqs,NC_004102,1,a,confirmed
ncbi-refseqs,M62321,1,a,confirmed
ncbi-refseqs,M67463,1,a,confirmed
ncbi-refseqs,HQ850279,1,a,confirmed
ncbi-refseqs,EF407457,1,a,confirmed
ncbi-refseqs,D90208,1,b,confirmed
ncbi-refseqs,M58335,1,b,confirmed
ncbi-refseqs,EU781827,1,b,confirmed
ncbi-refseqs,EU781828,1,b,confirmed
ncbi-refseqs,D14853,1,c,confirmed
ncbi-refseqs,AY051292,1,c,confirmed
ncbi-refseqs,AY651061,1,c,confirmed
ncbi-refseqs,KJ439768,1,d,confirmed
ncbi-refseqs,KC248194,1,e,confirmed
ncbi-refseqs,AM910652,1,g,confirmed
ncbi-refseqs,KC248198,1,h,confirmed
ncbi-refseqs,KC248199,1,h,confirmed
ncbi-refseqs,KJ439772,1,i,confirmed
ncbi-refseqs,KJ439773,1,j,confirmed
ncbi-refseqs,KC248193,1,l,confirmed
ncbi-refseqs,KC248197,1,l,confirmed
ncbi-refseqs,KC248196,1,l,confirmed
ncbi-refseqs,KJ439778,1,m,confirmed
ncbi-refseqs,KJ439782,1,m,confirmed
ncbi-refseqs,KJ439781,1,n,confirmed
ncbi-refseqs,KJ439775,1,n,confirmed
ncbi-refseqs,KJ439774,1,k,confirmed
ncbi-refseqs,D00944,2,a,confirmed
ncbi-refseqs,AB047639,2,a,confirmed
ncbi-refseqs,HQ639944,2,a,confirmed
ncbi-refseqs,D10988,2,b,confirmed
ncbi-refseqs,AB030907,2,b,confirmed
ncbi-refseqs,AB661388,2,b,confirmed
ncbi-refseqs,AB661382,2,b,confirmed
ncbi-refseqs,D50409,2,c,confirmed
ncbi-refseqs,JX227949,2,c,confirmed
ncbi-refseqs,JF735114,2,d,confirmed
ncbi-refseqs,JF735120,2,e,confirmed
ncbi-refseqs,KC844042,2,f,confirmed
ncbi-refseqs,KC844050,2,f,confirmed
ncbi-refseqs,DQ155561,2,i,confirmed
ncbi-refseqs,HM777358,2,j,confirmed
ncbi-refseqs,JF735113,2,j,confirmed
ncbi-refseqs,HM777359,2,j,confirmed
ncbi-refseqs,AB031663,2,k,confirmed
ncbi-refseqs,JX227953,2,k,confirmed
ncbi-refseqs,KC197235,2,l,confirmed
ncbi-refseqs,KC197240,2,l,confirmed
ncbi-refseqs,JF735111,2,m,confirmed
ncbi-refseqs,JX227967,2,m,confirmed
ncbi-refseqs,FN666428,2,q,confirmed
ncbi-refseqs,FN666429,2,q,confirmed
ncbi-refseqs,JF735115,2,r,confirmed
ncbi-refseqs,KC197238,2,t,confirmed
ncbi-refseqs,JF735112,2,u,confirmed
ncbi-refseqs,NC_009824,3,a,confirmed
ncbi-refseqs,D28917,3,a,confirmed
ncbi-refseqs,X76918,3,a,confirmed
ncbi-refseqs,JN714194,3,a,confirmed
ncbi-refseqs,D49374,3,b,confirmed
ncbi-refseqs,JQ065709,3,b,confirmed
ncbi-refseqs,KJ470619,3,d,confirmed
ncbi-refseqs,KJ470618,3,e,confirmed
ncbi-refseqs,JX227954,3,g,confirmed
ncbi-refseqs,JF735123,3,g,confirmed
ncbi-refseqs,JF735121,3,h,confirmed
ncbi-refseqs,JF735126,3,h,confirmed
ncbi-refseqs,FJ407092,3,i,confirmed
ncbi-refseqs,JX227955,3,i,confirmed
ncbi-refseqs,D63821,3,k,confirmed
ncbi-refseqs,JF735122,3,k,confirmed
ncbi-refseqs,NC_009825,4,a,confirmed
ncbi-refseqs,DQ988074,4,a,confirmed
ncbi-refseqs,DQ418789,4,a,confirmed
ncbi-refseqs,FJ462435,4,b,confirmed
ncbi-refseqs,FJ462436,4,c,confirmed
ncbi-refseqs,DQ418786,4,d,confirmed
ncbi-refseqs,FJ462437,4,d,confirmed
ncbi-refseqs,EU392172,4,d,confirmed
ncbi-refseqs,EF589161,4,f,confirmed
ncbi-refseqs,EU392175,4,f,confirmed
ncbi-refseqs,EU392174,4,f,confirmed
ncbi-refseqs,FJ462432,4,g,confirmed
ncbi-refseqs,JX227971,4,g,confirmed
ncbi-refseqs,JX227963,4,g,confirmed
ncbi-refseqs,EU392173,4,k,confirmed
ncbi-refseqs,FJ462438,4,k,confirmed
ncbi-refseqs,EU392171,4,k,confirmed
ncbi-refseqs,FJ839870,4,l,confirmed
ncbi-refseqs,JX227957,4,l,confirmed
ncbi-refseqs,FJ462433,4,m,confirmed
ncbi-refseqs,JX227972,4,m,confirmed
ncbi-refseqs,FJ462441,4,n,confirmed
