Strain Name	Virus Type	Subtype/Genotype (ViPR)	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type	
NPHV-A6-006	Hepacivirus AK-2012	-N/A-	JQ434003	9220	2011	Horse	horse	-N/A-	genomic RNA	
NPHV-B10-022	Hepacivirus AK-2012	-N/A-	JQ434004	9248	2011	Horse	horse	-N/A-	genomic RNA	
NPHV-G1-073	Hepacivirus AK-2012	-N/A-	JQ434002	9250	2011	Horse	horse	-N/A-	genomic RNA	
NPHV-H3-011	Hepacivirus AK-2012	-N/A-	JQ434008	9229	2011	Horse	horse	-N/A-	genomic RNA	
NPHV-NZP-1	Hepacivirus AK-2012	-N/A-	JQ434001	9218	2011	Horse	horse	-N/A-	genomic RNA	
0	Hepatitis C virus	1b	AB191333	9587	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
1002	Hepatitis C virus	1a	EF407412	9352	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
10021TF.UC1	Hepatitis C virus	1a	KM043272	9587	09/14/2002	Unknown	-N/A-	USA	genomic RNA	
10021TF.UC2	Hepatitis C virus	1a	KM043273	9577	09/14/2002	Unknown	-N/A-	USA	genomic RNA	
10025TF.UC1	Hepatitis C virus	1a	KM043274	9541	03/31/1998	Unknown	-N/A-	USA	genomic RNA	
10025TF.UC2	Hepatitis C virus	1a	KM043275	9556	03/31/1998	Unknown	-N/A-	USA	genomic RNA	
10025TF.UC3	Hepatitis C virus	1a	KM043276	9585	03/31/1998	Unknown	-N/A-	USA	genomic RNA	
10025TF.UC4	Hepatitis C virus	1a	KM043277	9585	03/31/1998	Unknown	-N/A-	USA	genomic RNA	
1003	Hepatitis C virus	1a	EF407457	9286	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
10051TF.UC1	Hepatitis C virus	1b	KM043285	9585	07/05/2002	Unknown	-N/A-	USA	genomic RNA	
1010	Hepatitis C virus	1b	EF407459	9392	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
1013	Hepatitis C virus	1a	EF407432	9395	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
1013_FU24	Hepatitis C virus	1a	EU362876	9340	-N/A-	Unknown	-N/A-	USA	genomic RNA	
1020	Hepatitis C virus	1b	EF407481	9367	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
1024	Hepatitis C virus	1a	EF407428	9323	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
1024_FU24	Hepatitis C virus	1a	EU362877	9342	-N/A-	Unknown	-N/A-	USA	genomic RNA	
1030	Hepatitis C virus	1a	EF407437	9387	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
1036	Hepatitis C virus	1a	EF407441	9386	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
105431TF1	Hepatitis C virus	4a	KM043282	9546	09/12/2007	Unknown	-N/A-	USA	genomic RNA	
105431TF2.UC1	Hepatitis C virus	4a	KM043283	9549	09/12/2007	Unknown	-N/A-	USA	genomic RNA	
105431TF2.UC2	Hepatitis C virus	4a	KM043284	9561	09/12/2007	Unknown	-N/A-	USA	genomic RNA	
10MYKJ032	Hepatitis C virus	6n	KC191671	9402	2010	Human	Homo sapiens	Malaysia	genomic RNA	
110069TF1.UC1	Hepatitis C virus	1a	KM043278	9598	07/06/2009	Unknown	-N/A-	USA	genomic RNA	
110069TF1.UC2	Hepatitis C virus	1a	KM043279	9573	07/06/2009	Unknown	-N/A-	USA	genomic RNA	
136142	Hepatitis C virus	-N/A-	KC248193	9430	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
148636	Hepatitis C virus	1e	KC248194	9422	-N/A-	Human	Homo sapiens	United Kingdom	genomic RNA	
160526	Hepatitis C virus	1_KC248195	KC248195	9439	-N/A-	Human	Homo sapiens	United Kingdom	genomic RNA	
166212	Hepatitis C virus	1l	KC248196	9428	-N/A-	Human	Homo sapiens	United Kingdom	genomic RNA	
2005	Hepatitis C virus	1a	EF407452	9390	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
2006	Hepatitis C virus	1b	EF407467	9395	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
2011	Hepatitis C virus	1a	EF407434	9360	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
2011q	Hepatitis C virus	1a	EU362901	9360	-N/A-	Unknown	-N/A-	USA	genomic RNA	
2027	Hepatitis C virus	1a	EF407449	9395	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
2028	Hepatitis C virus	1b	EF407495	9329	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
2038	Hepatitis C virus	1b	EF407502	9470	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
3001	Hepatitis C virus	1b	EF407491	9365	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
3005	Hepatitis C virus	1a	EF407431	9332	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
3005_FU24	Hepatitis C virus	1a	EU362882	9349	-N/A-	Unknown	-N/A-	USA	genomic RNA	
3009	Hepatitis C virus	1b	EF407475	9380	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
3012	Hepatitis C virus	1b	EF407476	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
3018	Hepatitis C virus	1a	EF407415	9392	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
3031	Hepatitis C virus	1b	EF407493	9414	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
3032	Hepatitis C virus	1b	EF407478	9376	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
3043	Hepatitis C virus	1b	EF407480	9388	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
4001	Hepatitis C virus	1b	EF407468	9378	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
